mass_A
t,x,y
3.466666667E-1,-4.704048295E-1,8.661790423E-2
3.800000000E-1,-4.123925359E-1,1.568923631E-1
4.133333333E-1,-3.567991665E-1,2.157528509E-1
4.466666667E-1,-2.967344524E-1,2.654088610E-1
4.800000000E-1,-2.413505136E-1,3.059651089E-1
5.133333333E-1,-1.838617967E-1,3.304789679E-1
5.466666667E-1,-1.264254374E-1,3.504167670E-1
5.800000000E-1,-6.914615119E-2,3.566263862E-1
6.133333333E-1,-1.199775909E-2,3.513958554E-1
6.466666667E-1,4.501973884E-2,3.347251746E-1
6.800000000E-1,9.733028263E-2,3.066667016E-1
7.133333333E-1,1.564002011E-1,2.693775721E-1
7.466666667E-1,2.130511953E-1,2.206744714E-1
7.800000000E-1,2.695712954E-1,1.605312209E-1
8.133333333E-1,3.305627402E-1,9.118349268E-2
8.466666667E-1,3.867948731E-1,5.871912207E-3
8.800000000E-1,4.452103207E-1,-8.861796706E-2
9.133333333E-1,5.012592019E-1,-1.899457575E-1
9.466666667E-1,5.593605035E-1,-3.118919966E-1
9.800000000E-1,6.174094474E-1,-4.384142957E-1
1.013333333E0,6.797988418E-1,-5.855812224E-1
