tdays,Angledeg
     0.0 ,   164.02
    10.0 ,   164.80
    20.0 ,   165.83
    30.0 ,   167.09
    40.0 ,   168.53
    50.0 ,   170.14
    60.0 ,   171.90
    70.0 ,   173.78
    80.0 ,   175.75
    90.0 ,   177.80
   100.0 ,   179.91
   110.0 ,   182.06
   120.0 ,   184.22
   130.0 ,   186.37
   140.0 ,   188.50
   150.0 ,   190.59
   160.0 ,   192.60
   170.0 ,   194.52
   180.0 ,   196.32
   190.0 ,   197.97
   200.0 ,   199.44
   210.0 ,   200.71
   220.0 ,   201.74
   230.0 ,   202.50
   240.0 ,   202.98
   250.0 ,   203.14
   260.0 ,   202.99
   270.0 ,   202.54
   280.0 ,   201.79
   290.0 ,   200.80
   300.0 ,   199.64
   310.0 ,   198.37
   320.0 ,   197.10
   330.0 ,   195.90
   340.0 ,   194.87
   350.0 ,   194.05
   360.0 ,   193.50
   370.0 ,   193.24
   380.0 ,   193.29
   390.0 ,   193.62
   400.0 ,   194.24
   410.0 ,   195.12
   420.0 ,   196.24
   430.0 ,   197.57
   440.0 ,   199.08
   450.0 ,   200.75
   460.0 ,   202.57
   470.0 ,   204.50
   480.0 ,   206.52
   490.0 ,   208.61
   500.0 ,   210.76
   510.0 ,   212.93
   520.0 ,   215.11
   530.0 ,   217.28
   540.0 ,   219.41
   550.0 ,   221.49
   560.0 ,   223.48
   570.0 ,   225.36
   580.0 ,   227.11
   590.0 ,   228.70
   600.0 ,   230.09
   610.0 ,   231.26
   620.0 ,   232.18
   630.0 ,   232.82
   640.0 ,   233.17
   650.0 ,   233.20
   660.0 ,   232.93
   670.0 ,   232.35
   680.0 ,   231.51
   690.0 ,   230.45
   700.0 ,   229.25
   710.0 ,   227.98
   720.0 ,   226.73
   730.0 ,   225.60
   740.0 ,   224.64
   750.0 ,   223.93
   760.0 ,   223.49
   770.0 ,   223.35
   780.0 ,   223.51
   790.0 ,   223.96
   800.0 ,   224.70
   810.0 ,   225.68
   820.0 ,   226.91
   830.0 ,   228.33
   840.0 ,   229.95
   850.0 ,   231.71
   860.0 ,   233.62
   870.0 ,   235.63
   880.0 ,   237.73
   890.0 ,   239.90
   900.0 ,   242.11
   910.0 ,   244.34
   920.0 ,   246.57
   930.0 ,   248.77
   940.0 ,   250.93
   950.0 ,   253.02
   960.0 ,   255.02
   970.0 ,   256.89
   980.0 ,   258.62
   990.0 ,   260.17
  1000.0 ,   261.52
  1010.0 ,   262.63
  1020.0 ,   263.49
  1030.0 ,   264.06
  1040.0 ,   264.33
  1050.0 ,   264.29
  1060.0 ,   263.94
  1070.0 ,   263.30
  1080.0 ,   262.40
  1090.0 ,   261.30
  1100.0 ,   260.07
  1110.0 ,   258.80
  1120.0 ,   257.57
  1130.0 ,   256.47
  1140.0 ,   255.57
  1150.0 ,   254.93
  1160.0 ,   254.57
  1170.0 ,   254.53
  1180.0 ,   254.79
  1190.0 ,   255.34
  1200.0 ,   256.18
  1210.0 ,   257.28
  1220.0 ,   258.61
  1230.0 ,   260.15
  1240.0 ,   261.87
  1250.0 ,   263.75
  1260.0 ,   265.76
  1270.0 ,   267.87
  1280.0 ,   270.06
  1290.0 ,   272.32
  1300.0 ,   274.61
  1310.0 ,   276.91
  1320.0 ,   279.21
  1330.0 ,   281.47
  1340.0 ,   283.68
  1350.0 ,   285.81
  1360.0 ,   287.84
  1370.0 ,   289.74
  1380.0 ,   291.48
  1390.0 ,   293.05
  1400.0 ,   294.40
  1410.0 ,   295.52
  1420.0 ,   296.38
  1430.0 ,   296.95
  1440.0 ,   297.22
  1450.0 ,   297.18
  1460.0 ,   296.82
  1470.0 ,   296.17
  1480.0 ,   295.25
  1490.0 ,   294.14
  1500.0 ,   292.89
  1510.0 ,   291.61
  1520.0 ,   290.37
  1530.0 ,   289.28
  1540.0 ,   288.39
  1550.0 ,   287.77
  1560.0 ,   287.45
  1570.0 ,   287.45
  1580.0 ,   287.77
  1590.0 ,   288.40
  1600.0 ,   289.32
  1610.0 ,   290.51
  1620.0 ,   291.93
  1630.0 ,   293.57
  1640.0 ,   295.39
  1650.0 ,   297.36
  1660.0 ,   299.46
  1670.0 ,   301.66
  1680.0 ,   303.94
  1690.0 ,   306.28
  1700.0 ,   308.64
  1710.0 ,   311.02
  1720.0 ,   313.38
  1730.0 ,   315.71
  1740.0 ,   317.97
  1750.0 ,   320.16
  1760.0 ,   322.24
  1770.0 ,   324.20
  1780.0 ,   326.00
  1790.0 ,   327.62
  1800.0 ,   329.04
  1810.0 ,   330.23
  1820.0 ,   331.16
  1830.0 ,   331.80
  1840.0 ,   332.14
  1850.0 ,   332.16
  1860.0 ,   331.86
  1870.0 ,   331.25
  1880.0 ,   330.37
  1890.0 ,   329.27
  1900.0 ,   328.02
  1910.0 ,   326.71
  1920.0 ,   325.44
  1930.0 ,   324.30
  1940.0 ,   323.37
  1950.0 ,   322.72
  1960.0 ,   322.38
  1970.0 ,   322.37
  1980.0 ,   322.70
  1990.0 ,   323.35
  2000.0 ,   324.30
  2010.0 ,   325.53
  2020.0 ,   327.00
  2030.0 ,   328.69
  2040.0 ,   330.56
  2050.0 ,   332.59
  2060.0 ,   334.74
  2070.0 ,   336.99
  2080.0 ,   339.33
  2090.0 ,   341.71
  2100.0 ,   344.12
  2110.0 ,   346.54
  2120.0 ,   348.94
  2130.0 ,   351.31
  2140.0 ,   353.62
  2150.0 ,   355.86
  2160.0 ,   358.00
  2170.0 ,   360.01
  2180.0 ,   361.89
  2190.0 ,   363.59
  2200.0 ,   365.09
  2210.0 ,   366.37
  2220.0 ,   367.40
  2230.0 ,   368.15
  2240.0 ,   368.59
  2250.0 ,   368.72
  2260.0 ,   368.52
  2270.0 ,   367.99
  2280.0 ,   367.17
  2290.0 ,   366.11
  2300.0 ,   364.87
  2310.0 ,   363.54
  2320.0 ,   362.22
  2330.0 ,   361.02
  2340.0 ,   360.03
  2350.0 ,   359.30
  2360.0 ,   358.89
  2370.0 ,   358.82
  2380.0 ,   359.10
  2390.0 ,   359.71
  2400.0 ,   360.63
  2410.0 ,   361.84
  2420.0 ,   363.30
  2430.0 ,   364.97
  2440.0 ,   366.83
  2450.0 ,   368.85
  2460.0 ,   370.99
  2470.0 ,   373.24
  2480.0 ,   375.56
  2490.0 ,   377.93
  2500.0 ,   380.34
  2510.0 ,   382.75
  2520.0 ,   385.15
  2530.0 ,   387.52
  2540.0 ,   389.85
  2550.0 ,   392.10
  2560.0 ,   394.26
  2570.0 ,   396.31
  2580.0 ,   398.22
  2590.0 ,   399.97
  2600.0 ,   401.53
  2610.0 ,   402.88
  2620.0 ,   403.99
  2630.0 ,   404.83
  2640.0 ,   405.36
  2650.0 ,   405.58
  2660.0 ,   405.46
  2670.0 ,   405.02
  2680.0 ,   404.26
  2690.0 ,   403.23
  2700.0 ,   402.01
  2710.0 ,   400.67
  2720.0 ,   399.33
  2730.0 ,   398.07
  2740.0 ,   397.01
  2750.0 ,   396.21
  2760.0 ,   395.73
  2770.0 ,   395.59
  2780.0 ,   395.79
  2790.0 ,   396.33
  2800.0 ,   397.19
  2810.0 ,   398.32
  2820.0 ,   399.71
  2830.0 ,   401.32
  2840.0 ,   403.12
  2850.0 ,   405.07
  2860.0 ,   407.15
  2870.0 ,   409.33
  2880.0 ,   411.59
  2890.0 ,   413.90
  2900.0 ,   416.24
  2910.0 ,   418.60
  2920.0 ,   420.96
  2930.0 ,   423.28
  2940.0 ,   425.57
  2950.0 ,   427.79
  2960.0 ,   429.93
  2970.0 ,   431.96
  2980.0 ,   433.86
  2990.0 ,   435.61
  3000.0 ,   437.18
  3010.0 ,   438.55
  3020.0 ,   439.67
  3030.0 ,   440.53
  3040.0 ,   441.09
  3050.0 ,   441.33
  3060.0 ,   441.24
  3070.0 ,   440.81
  3080.0 ,   440.07
  3090.0 ,   439.06
  3100.0 ,   437.84
  3110.0 ,   436.51
  3120.0 ,   435.15
  3130.0 ,   433.89
  3140.0 ,   432.80
  3150.0 ,   431.98
  3160.0 ,   431.46
  3170.0 ,   431.28
  3180.0 ,   431.43
  3190.0 ,   431.92
  3200.0 ,   432.71
  3210.0 ,   433.77
  3220.0 ,   435.09
  3230.0 ,   436.62
  3240.0 ,   438.33
  3250.0 ,   440.19
  3260.0 ,   442.18
  3270.0 ,   444.28
  3280.0 ,   446.45
  3290.0 ,   448.68
  3300.0 ,   450.94
  3310.0 ,   453.22
  3320.0 ,   455.50
  3330.0 ,   457.76
  3340.0 ,   459.98
  3350.0 ,   462.14
  3360.0 ,   464.22
  3370.0 ,   466.20
  3380.0 ,   468.05
  3390.0 ,   469.75
  3400.0 ,   471.27
  3410.0 ,   472.58
  3420.0 ,   473.65
  3430.0 ,   474.46
  3440.0 ,   474.96
  3450.0 ,   475.15
  3460.0 ,   475.00
  3470.0 ,   474.53
  3480.0 ,   473.75
  3490.0 ,   472.71
  3500.0 ,   471.48
  3510.0 ,   470.15
  3520.0 ,   468.81
  3530.0 ,   467.58
  3540.0 ,   466.53
  3550.0 ,   465.74
  3560.0 ,   465.25
  3570.0 ,   465.08
  3580.0 ,   465.24
  3590.0 ,   465.71
  3600.0 ,   466.48
  3610.0 ,   467.51
  3620.0 ,   468.78
  3630.0 ,   470.25
  3640.0 ,   471.90
  3650.0 ,   473.69
  3660.0 ,   475.62
  3670.0 ,   477.64
  3680.0 ,   479.74
  3690.0 ,   481.89
  3700.0 ,   484.09
  3710.0 ,   486.30
  3720.0 ,   488.51
  3730.0 ,   490.70
  3740.0 ,   492.86
  3750.0 ,   494.95
  3760.0 ,   496.96
  3770.0 ,   498.87
  3780.0 ,   500.64
  3790.0 ,   502.26
  3800.0 ,   503.69
  3810.0 ,   504.90
  3820.0 ,   505.86
  3830.0 ,   506.55
  3840.0 ,   506.94
  3850.0 ,   507.00
  3860.0 ,   506.74
  3870.0 ,   506.17
  3880.0 ,   505.31
  3890.0 ,   504.21
  3900.0 ,   502.96
  3910.0 ,   501.64
  3920.0 ,   500.35
  3930.0 ,   499.18
  3940.0 ,   498.21
  3950.0 ,   497.51
  3960.0 ,   497.10
  3970.0 ,   497.00
  3980.0 ,   497.21
  3990.0 ,   497.73
  4000.0 ,   498.52
  4010.0 ,   499.56
  4020.0 ,   500.82
  4030.0 ,   502.28
  4040.0 ,   503.91
  4050.0 ,   505.68
  4060.0 ,   507.57
  4070.0 ,   509.56
  4080.0 ,   511.62
  4090.0 ,   513.74
  4100.0 ,   515.89
  4110.0 ,   518.07
  4120.0 ,   520.23
  4130.0 ,   522.38
  4140.0 ,   524.48
  4150.0 ,   526.51
  4160.0 ,   528.46
  4170.0 ,   530.29
  4180.0 ,   531.97
  4190.0 ,   533.49
  4200.0 ,   534.81
  4210.0 ,   535.90
  4220.0 ,   536.73
  4230.0 ,   537.27
  4240.0 ,   537.50
  4250.0 ,   537.41
  4260.0 ,   537.01
  4270.0 ,   536.31
  4280.0 ,   535.35
  4290.0 ,   534.20
  4300.0 ,   532.93
  4310.0 ,   531.63
  4320.0 ,   530.40
  4330.0 ,   529.33
  4340.0 ,   528.47
  4350.0 ,   527.88
  4360.0 ,   527.58
  4370.0 ,   527.58
  4380.0 ,   527.89
  4390.0 ,   528.48
  4400.0 ,   529.33
  4410.0 ,   530.42
  4420.0 ,   531.73
  4430.0 ,   533.22
  4440.0 ,   534.88
  4450.0 ,   536.67
  4460.0 ,   538.57
  4470.0 ,   540.57
  4480.0 ,   542.64
  4490.0 ,   544.76
  4500.0 ,   546.92
  4510.0 ,   549.08
  4520.0 ,   551.23
  4530.0 ,   553.36
  4540.0 ,   555.42
  4550.0 ,   557.42
  4560.0 ,   559.31
  4570.0 ,   561.07
  4580.0 ,   562.67
  4590.0 ,   564.09
  4600.0 ,   565.30
  4610.0 ,   566.25
  4620.0 ,   566.94
  4630.0 ,   567.33
  4640.0 ,   567.41
  4650.0 ,   567.17
  4660.0 ,   566.63
  4670.0 ,   565.82
  4680.0 ,   564.77
  4690.0 ,   563.58
  4700.0 ,   562.30
  4710.0 ,   561.04
  4720.0 ,   559.88
  4730.0 ,   558.90
  4740.0 ,   558.16
  4750.0 ,   557.69
  4760.0 ,   557.51
  4770.0 ,   557.63
  4780.0 ,   558.05
  4790.0 ,   558.74
  4800.0 ,   559.69
  4810.0 ,   560.86
  4820.0 ,   562.25
  4830.0 ,   563.81
  4840.0 ,   565.53
  4850.0 ,   567.38
  4860.0 ,   569.34
  4870.0 ,   571.39
  4880.0 ,   573.51
  4890.0 ,   575.67
  4900.0 ,   577.85
  4910.0 ,   580.04
  4920.0 ,   582.21
  4930.0 ,   584.33
  4940.0 ,   586.40
  4950.0 ,   588.37
  4960.0 ,   590.22
  4970.0 ,   591.93
  4980.0 ,   593.47
  4990.0 ,   594.81
  5000.0 ,   595.92
  5010.0 ,   596.77
  5020.0 ,   597.34
  5030.0 ,   597.61
  5040.0 ,   597.56
  5050.0 ,   597.21
  5060.0 ,   596.56
  5070.0 ,   595.66
  5080.0 ,   594.56
  5090.0 ,   593.33
  5100.0 ,   592.06
  5110.0 ,   590.83
  5120.0 ,   589.74
  5130.0 ,   588.84
  5140.0 ,   588.19
  5150.0 ,   587.83
  5160.0 ,   587.77
  5170.0 ,   588.01
  5180.0 ,   588.54
  5190.0 ,   589.34
  5200.0 ,   590.40
  5210.0 ,   591.68
  5220.0 ,   593.17
  5230.0 ,   594.83
  5240.0 ,   596.64
  5250.0 ,   598.59
  5260.0 ,   600.63
  5270.0 ,   602.76
  5280.0 ,   604.95
  5290.0 ,   607.18
  5300.0 ,   609.42
  5310.0 ,   611.65
  5320.0 ,   613.86
  5330.0 ,   616.01
  5340.0 ,   618.09
  5350.0 ,   620.07
  5360.0 ,   621.91
  5370.0 ,   623.61
  5380.0 ,   625.12
  5390.0 ,   626.41
  5400.0 ,   627.47
  5410.0 ,   628.27
  5420.0 ,   628.77
  5430.0 ,   628.98
  5440.0 ,   628.86
  5450.0 ,   628.45
  5460.0 ,   627.74
  5470.0 ,   626.79
  5480.0 ,   625.65
  5490.0 ,   624.41
  5500.0 ,   623.13
  5510.0 ,   621.93
  5520.0 ,   620.87
  5530.0 ,   620.02
  5540.0 ,   619.45
  5550.0 ,   619.16
  5560.0 ,   619.19
  5570.0 ,   619.52
  5580.0 ,   620.15
  5590.0 ,   621.06
  5600.0 ,   622.23
  5610.0 ,   623.62
  5620.0 ,   625.21
  5630.0 ,   626.98
  5640.0 ,   628.90
  5650.0 ,   630.95
  5660.0 ,   633.09
  5670.0 ,   635.31
  5680.0 ,   637.59
  5690.0 ,   639.90
  5700.0 ,   642.21
  5710.0 ,   644.51
  5720.0 ,   646.77
  5730.0 ,   648.97
  5740.0 ,   651.09
  5750.0 ,   653.10
  5760.0 ,   654.98
  5770.0 ,   656.69
  5780.0 ,   658.22
  5790.0 ,   659.53
  5800.0 ,   660.61
  5810.0 ,   661.41
  5820.0 ,   661.93
  5830.0 ,   662.13
  5840.0 ,   662.03
  5850.0 ,   661.61
  5860.0 ,   660.90
  5870.0 ,   659.94
  5880.0 ,   658.79
  5890.0 ,   657.53
  5900.0 ,   656.25
  5910.0 ,   655.03
  5920.0 ,   653.97
  5930.0 ,   653.13
  5940.0 ,   652.57
  5950.0 ,   652.32
  5960.0 ,   652.39
  5970.0 ,   652.78
  5980.0 ,   653.48
  5990.0 ,   654.46
  6000.0 ,   655.71
  6010.0 ,   657.19
  6020.0 ,   658.88
  6030.0 ,   660.74
  6040.0 ,   662.75
  6050.0 ,   664.89
  6060.0 ,   667.12
  6070.0 ,   669.42
  6080.0 ,   671.77
  6090.0 ,   674.15
  6100.0 ,   676.53
  6110.0 ,   678.89
  6120.0 ,   681.21
  6130.0 ,   683.47
  6140.0 ,   685.65
  6150.0 ,   687.71
  6160.0 ,   689.64
  6170.0 ,   691.42
  6180.0 ,   693.01
  6190.0 ,   694.39
  6200.0 ,   695.54
  6210.0 ,   696.42
  6220.0 ,   697.01
  6230.0 ,   697.30
  6240.0 ,   697.26
  6250.0 ,   696.90
  6260.0 ,   696.24
  6270.0 ,   695.32
  6280.0 ,   694.18
  6290.0 ,   692.91
  6300.0 ,   691.60
  6310.0 ,   690.34
  6320.0 ,   689.24
  6330.0 ,   688.35
  6340.0 ,   687.76
  6350.0 ,   687.48
  6360.0 ,   687.54
  6370.0 ,   687.93
  6380.0 ,   688.65
  6390.0 ,   689.66
  6400.0 ,   690.94
  6410.0 ,   692.46
  6420.0 ,   694.19
