tdays,Angledeg
     0.0 ,   -32.40
    10.0 ,   -24.65
    20.0 ,   -16.91
    30.0 ,    -9.21
    40.0 ,    -1.54
    50.0 ,     6.07
    60.0 ,    13.61
    70.0 ,    21.09
    80.0 ,    28.50
    90.0 ,    35.83
   100.0 ,    43.08
   110.0 ,    50.25
   120.0 ,    57.34
   130.0 ,    64.35
   140.0 ,    71.29
   150.0 ,    78.15
   160.0 ,    84.95
   170.0 ,    91.68
   180.0 ,    98.35
   190.0 ,   104.96
   200.0 ,   111.52
   210.0 ,   118.03
   220.0 ,   124.50
   230.0 ,   130.93
   240.0 ,   137.32
   250.0 ,   143.68
   260.0 ,   150.00
   270.0 ,   156.30
   280.0 ,   162.56
   290.0 ,   168.80
   300.0 ,   175.01
   310.0 ,   181.19
   320.0 ,   187.33
   330.0 ,   193.43
   340.0 ,   199.48
   350.0 ,   205.48
   360.0 ,   211.42
   370.0 ,   217.27
   380.0 ,   223.04
   390.0 ,   228.69
   400.0 ,   234.21
   410.0 ,   239.56
   420.0 ,   244.71
   430.0 ,   249.61
   440.0 ,   254.20
   450.0 ,   258.39
   460.0 ,   262.09
   470.0 ,   265.17
   480.0 ,   267.46
   490.0 ,   268.79
   500.0 ,   268.98
   510.0 ,   267.93
   520.0 ,   265.70
   530.0 ,   262.68
   540.0 ,   259.49
   550.0 ,   256.87
   560.0 ,   255.38
   570.0 ,   255.26
   580.0 ,   256.50
   590.0 ,   258.96
   600.0 ,   262.43
   610.0 ,   266.75
   620.0 ,   271.73
   630.0 ,   277.27
   640.0 ,   283.24
   650.0 ,   289.55
   660.0 ,   296.15
   670.0 ,   302.97
   680.0 ,   309.95
   690.0 ,   317.06
   700.0 ,   324.27
   710.0 ,   331.54
   720.0 ,   338.84
   730.0 ,   346.16
   740.0 ,   353.47
   750.0 ,   360.77
   760.0 ,   368.04
   770.0 ,   375.26
   780.0 ,   382.44
   790.0 ,   389.57
   800.0 ,   396.63
   810.0 ,   403.64
   820.0 ,   410.58
   830.0 ,   417.46
   840.0 ,   424.29
   850.0 ,   431.05
   860.0 ,   437.75
   870.0 ,   444.41
   880.0 ,   451.01
   890.0 ,   457.57
   900.0 ,   464.09
   910.0 ,   470.58
   920.0 ,   477.03
   930.0 ,   483.46
   940.0 ,   489.86
   950.0 ,   496.25
   960.0 ,   502.62
   970.0 ,   508.99
   980.0 ,   515.35
   990.0 ,   521.71
  1000.0 ,   528.07
  1010.0 ,   534.44
  1020.0 ,   540.82
  1030.0 ,   547.20
  1040.0 ,   553.59
  1050.0 ,   560.00
  1060.0 ,   566.41
  1070.0 ,   572.84
  1080.0 ,   579.27
  1090.0 ,   585.71
  1100.0 ,   592.16
  1110.0 ,   598.60
  1120.0 ,   605.05
  1130.0 ,   611.49
  1140.0 ,   617.92
  1150.0 ,   624.33
  1160.0 ,   630.72
  1170.0 ,   637.07
  1180.0 ,   643.37
  1190.0 ,   649.61
  1200.0 ,   655.76
  1210.0 ,   661.81
  1220.0 ,   667.70
  1230.0 ,   673.40
  1240.0 ,   678.85
  1250.0 ,   683.96
  1260.0 ,   688.63
  1270.0 ,   692.74
  1280.0 ,   696.12
  1290.0 ,   698.57
  1300.0 ,   699.91
  1310.0 ,   699.96
  1320.0 ,   698.74
  1330.0 ,   696.53
  1340.0 ,   693.91
  1350.0 ,   691.64
  1360.0 ,   690.34
  1370.0 ,   690.30
  1380.0 ,   691.56
  1390.0 ,   693.97
  1400.0 ,   697.33
  1410.0 ,   701.45
  1420.0 ,   706.16
