tdays,Angledeg
     0.0 ,   -88.88
    10.0 ,   -73.05
    20.0 ,   -56.47
    30.0 ,   -39.14
    40.0 ,   -22.57
    50.0 ,   -12.91
    60.0 ,   -17.99
    70.0 ,   -26.47
    80.0 ,   -25.48
    90.0 ,   -17.13
   100.0 ,    -4.54
   110.0 ,    11.14
   120.0 ,    29.66
   130.0 ,    50.68
   140.0 ,    71.99
   150.0 ,    89.85
   160.0 ,   102.51
   170.0 ,   109.25
   180.0 ,   108.86
   190.0 ,   103.14
   200.0 ,   100.31
   210.0 ,   106.51
   220.0 ,   121.38
   230.0 ,   141.10
   240.0 ,   160.80
   250.0 ,   178.48
   260.0 ,   194.20
   270.0 ,   208.11
   280.0 ,   219.55
   290.0 ,   225.84
   300.0 ,   220.83
   310.0 ,   210.33
   320.0 ,   214.63
   330.0 ,   228.04
   340.0 ,   243.33
   350.0 ,   258.88
   360.0 ,   274.64
   370.0 ,   290.85
   380.0 ,   307.45
   390.0 ,   322.90
   400.0 ,   330.77
   410.0 ,   323.18
   420.0 ,   315.50
   430.0 ,   318.71
   440.0 ,   328.47
   450.0 ,   341.77
   460.0 ,   357.67
   470.0 ,   376.06
   480.0 ,   396.74
   490.0 ,   417.74
   500.0 ,   434.98
   510.0 ,   446.01
   520.0 ,   449.97
   530.0 ,   446.91
   540.0 ,   441.84
   550.0 ,   442.41
   560.0 ,   451.19
   570.0 ,   467.16
   580.0 ,   487.47
   590.0 ,   507.74
   600.0 ,   525.74
   610.0 ,   541.45
   620.0 ,   554.93
   630.0 ,   565.38
   640.0 ,   569.89
   650.0 ,   563.28
   660.0 ,   554.29
   670.0 ,   560.34
   680.0 ,   574.88
   690.0 ,   590.86
   700.0 ,   606.69
   710.0 ,   622.41
   720.0 ,   638.25
   730.0 ,   654.13
   740.0 ,   668.40
   750.0 ,   674.41
   760.0 ,   664.85
   770.0 ,   658.54
   780.0 ,   663.74
   790.0 ,   674.64
   800.0 ,   688.46
   810.0 ,   704.46
   820.0 ,   722.62
   830.0 ,   742.85
   840.0 ,   763.37
   850.0 ,   779.78
   860.0 ,   788.67
   870.0 ,   789.31
   880.0 ,   784.32
   890.0 ,   781.23
   900.0 ,   785.15
   910.0 ,   796.10
   920.0 ,   812.97
   930.0 ,   833.73
   940.0 ,   854.50
   950.0 ,   872.77
   960.0 ,   888.40
   970.0 ,   901.35
   980.0 ,   910.64
   990.0 ,   913.19
  1000.0 ,   905.34
  1010.0 ,   898.32
  1020.0 ,   906.09
  1030.0 ,   921.72
  1040.0 ,   938.38
  1050.0 ,   954.52
  1060.0 ,   970.22
  1070.0 ,   985.71
  1080.0 ,  1000.85
  1090.0 ,  1013.89
  1100.0 ,  1018.00
  1110.0 ,  1007.05
  1120.0 ,  1002.43
  1130.0 ,  1009.40
  1140.0 ,  1021.26
  1150.0 ,  1035.48
  1160.0 ,  1051.49
  1170.0 ,  1069.35
  1180.0 ,  1089.04
  1190.0 ,  1108.93
  1200.0 ,  1124.26
  1210.0 ,  1130.53
  1220.0 ,  1127.73
  1230.0 ,  1122.14
  1240.0 ,  1121.83
  1250.0 ,  1128.62
  1260.0 ,  1141.27
  1270.0 ,  1158.84
  1280.0 ,  1179.90
  1290.0 ,  1201.06
  1300.0 ,  1219.52
  1310.0 ,  1234.95
  1320.0 ,  1247.22
  1330.0 ,  1255.11
  1340.0 ,  1255.53
  1350.0 ,  1247.01
  1360.0 ,  1242.43
  1370.0 ,  1251.85
  1380.0 ,  1268.51
  1390.0 ,  1285.86
  1400.0 ,  1302.33
  1410.0 ,  1318.03
  1420.0 ,  1333.18
  1430.0 ,  1347.58
  1440.0 ,  1359.35
  1450.0 ,  1361.52
  1460.0 ,  1349.73
  1470.0 ,  1346.94
  1480.0 ,  1355.50
  1490.0 ,  1368.20
  1500.0 ,  1382.74
  1510.0 ,  1398.71
  1520.0 ,  1416.23
  1530.0 ,  1435.31
  1540.0 ,  1454.42
  1550.0 ,  1468.49
  1560.0 ,  1471.76
  1570.0 ,  1465.95
  1580.0 ,  1461.20
  1590.0 ,  1463.76
  1600.0 ,  1472.82
  1610.0 ,  1486.73
  1620.0 ,  1504.79
  1630.0 ,  1526.01
  1640.0 ,  1547.42
  1650.0 ,  1565.96
  1660.0 ,  1581.03
  1670.0 ,  1592.37
  1680.0 ,  1598.52
  1690.0 ,  1596.72
  1700.0 ,  1588.38
  1710.0 ,  1586.59
  1720.0 ,  1597.60
  1730.0 ,  1615.22
  1740.0 ,  1633.27
  1750.0 ,  1650.09
  1760.0 ,  1665.80
  1770.0 ,  1680.64
  1780.0 ,  1694.29
  1790.0 ,  1704.71
  1800.0 ,  1704.94
  1810.0 ,  1692.83
  1820.0 ,  1691.91
  1830.0 ,  1701.91
  1840.0 ,  1715.37
  1850.0 ,  1730.20
  1860.0 ,  1746.11
  1870.0 ,  1763.26
  1880.0 ,  1781.68
  1890.0 ,  1799.91
  1900.0 ,  1812.51
  1910.0 ,  1812.61
  1920.0 ,  1804.77
  1930.0 ,  1801.86
  1940.0 ,  1806.96
  1950.0 ,  1817.70
  1960.0 ,  1832.50
  1970.0 ,  1850.84
  1980.0 ,  1872.06
  1990.0 ,  1893.59
  2000.0 ,  1912.07
  2010.0 ,  1926.53
  2020.0 ,  1936.57
  2030.0 ,  1940.58
  2040.0 ,  1936.72
  2050.0 ,  1929.62
  2060.0 ,  1930.83
  2070.0 ,  1943.35
  2080.0 ,  1961.85
  2090.0 ,  1980.57
  2100.0 ,  1997.75
  2110.0 ,  2013.50
  2120.0 ,  2028.01
  2130.0 ,  2040.88
  2140.0 ,  2049.88
  2150.0 ,  2048.19
  2160.0 ,  2036.24
  2170.0 ,  2037.19
  2180.0 ,  2048.52
  2190.0 ,  2062.70
  2200.0 ,  2077.81
  2210.0 ,  2093.65
  2220.0 ,  2110.42
  2230.0 ,  2128.15
  2240.0 ,  2145.39
  2250.0 ,  2156.39
  2260.0 ,  2153.40
  2270.0 ,  2144.70
  2280.0 ,  2144.07
  2290.0 ,  2151.25
  2300.0 ,  2163.20
  2310.0 ,  2178.58
