tdays,Angledeg
     0.0 ,    40.41
    10.0 ,    40.30
    20.0 ,    40.37
    30.0 ,    40.63
    40.0 ,    41.07
    50.0 ,    41.67
    60.0 ,    42.42
    70.0 ,    43.31
    80.0 ,    44.31
    90.0 ,    45.40
   100.0 ,    46.57
   110.0 ,    47.80
   120.0 ,    49.06
   130.0 ,    50.35
   140.0 ,    51.63
   150.0 ,    52.90
   160.0 ,    54.14
   170.0 ,    55.32
   180.0 ,    56.44
   190.0 ,    57.47
   200.0 ,    58.40
   210.0 ,    59.21
   220.0 ,    59.88
   230.0 ,    60.41
   240.0 ,    60.77
   250.0 ,    60.95
   260.0 ,    60.96
   270.0 ,    60.79
   280.0 ,    60.45
   290.0 ,    59.95
   300.0 ,    59.31
   310.0 ,    58.58
   320.0 ,    57.78
   330.0 ,    56.97
   340.0 ,    56.19
   350.0 ,    55.48
   360.0 ,    54.89
   370.0 ,    54.44
   380.0 ,    54.16
   390.0 ,    54.07
   400.0 ,    54.17
   410.0 ,    54.45
   420.0 ,    54.91
   430.0 ,    55.53
   440.0 ,    56.30
   450.0 ,    57.20
   460.0 ,    58.22
   470.0 ,    59.33
   480.0 ,    60.51
   490.0 ,    61.74
   500.0 ,    63.02
   510.0 ,    64.31
   520.0 ,    65.60
   530.0 ,    66.88
   540.0 ,    68.12
   550.0 ,    69.31
   560.0 ,    70.43
   570.0 ,    71.47
   580.0 ,    72.40
   590.0 ,    73.21
   600.0 ,    73.89
   610.0 ,    74.41
   620.0 ,    74.77
   630.0 ,    74.95
   640.0 ,    74.95
   650.0 ,    74.77
   660.0 ,    74.41
   670.0 ,    73.90
   680.0 ,    73.25
   690.0 ,    72.50
   700.0 ,    71.70
   710.0 ,    70.88
   720.0 ,    70.10
   730.0 ,    69.39
   740.0 ,    68.81
   750.0 ,    68.38
   760.0 ,    68.12
   770.0 ,    68.04
   780.0 ,    68.16
   790.0 ,    68.45
   800.0 ,    68.93
   810.0 ,    69.57
   820.0 ,    70.35
   830.0 ,    71.26
   840.0 ,    72.29
   850.0 ,    73.40
   860.0 ,    74.59
   870.0 ,    75.83
   880.0 ,    77.11
   890.0 ,    78.41
   900.0 ,    79.71
   910.0 ,    80.99
   920.0 ,    82.23
   930.0 ,    83.43
   940.0 ,    84.55
   950.0 ,    85.59
   960.0 ,    86.53
   970.0 ,    87.35
   980.0 ,    88.02
   990.0 ,    88.54
  1000.0 ,    88.90
  1010.0 ,    89.07
  1020.0 ,    89.06
  1030.0 ,    88.87
  1040.0 ,    88.50
  1050.0 ,    87.97
  1060.0 ,    87.31
  1070.0 ,    86.56
  1080.0 ,    85.74
  1090.0 ,    84.92
  1100.0 ,    84.14
  1110.0 ,    83.45
  1120.0 ,    82.87
  1130.0 ,    82.45
  1140.0 ,    82.21
  1150.0 ,    82.14
  1160.0 ,    82.27
  1170.0 ,    82.58
  1180.0 ,    83.07
  1190.0 ,    83.71
  1200.0 ,    84.51
  1210.0 ,    85.43
  1220.0 ,    86.45
  1230.0 ,    87.57
  1240.0 ,    88.76
  1250.0 ,    90.00
  1260.0 ,    91.28
  1270.0 ,    92.58
  1280.0 ,    93.88
  1290.0 ,    95.16
  1300.0 ,    96.41
  1310.0 ,    97.61
  1320.0 ,    98.73
  1330.0 ,    99.78
  1340.0 ,   100.71
  1350.0 ,   101.52
  1360.0 ,   102.20
  1370.0 ,   102.72
  1380.0 ,   103.06
  1390.0 ,   103.23
  1400.0 ,   103.21
  1410.0 ,   103.00
  1420.0 ,   102.62
  1430.0 ,   102.08
  1440.0 ,   101.41
  1450.0 ,   100.65
  1460.0 ,    99.83
  1470.0 ,    99.01
  1480.0 ,    98.24
  1490.0 ,    97.55
  1500.0 ,    96.99
  1510.0 ,    96.58
  1520.0 ,    96.34
  1530.0 ,    96.29
  1540.0 ,    96.43
  1550.0 ,    96.75
  1560.0 ,    97.24
  1570.0 ,    97.89
  1580.0 ,    98.69
  1590.0 ,    99.61
  1600.0 ,   100.63
  1610.0 ,   101.75
  1620.0 ,   102.94
  1630.0 ,   104.18
  1640.0 ,   105.46
  1650.0 ,   106.75
  1660.0 ,   108.05
  1670.0 ,   109.33
  1680.0 ,   110.57
  1690.0 ,   111.77
  1700.0 ,   112.89
  1710.0 ,   113.93
  1720.0 ,   114.86
  1730.0 ,   115.67
  1740.0 ,   116.34
  1750.0 ,   116.85
  1760.0 ,   117.18
  1770.0 ,   117.34
  1780.0 ,   117.30
  1790.0 ,   117.08
  1800.0 ,   116.69
  1810.0 ,   116.14
  1820.0 ,   115.46
  1830.0 ,   114.69
  1840.0 ,   113.87
  1850.0 ,   113.06
  1860.0 ,   112.29
  1870.0 ,   111.61
  1880.0 ,   111.06
  1890.0 ,   110.66
  1900.0 ,   110.44
  1910.0 ,   110.40
  1920.0 ,   110.55
  1930.0 ,   110.88
  1940.0 ,   111.37
  1950.0 ,   112.02
  1960.0 ,   112.82
  1970.0 ,   113.73
  1980.0 ,   114.76
  1990.0 ,   115.87
  2000.0 ,   117.05
  2010.0 ,   118.29
  2020.0 ,   119.56
  2030.0 ,   120.85
  2040.0 ,   122.14
  2050.0 ,   123.41
  2060.0 ,   124.65
  2070.0 ,   125.84
  2080.0 ,   126.96
  2090.0 ,   127.99
  2100.0 ,   128.91
  2110.0 ,   129.70
  2120.0 ,   130.36
  2130.0 ,   130.85
  2140.0 ,   131.17
  2150.0 ,   131.31
  2160.0 ,   131.26
  2170.0 ,   131.02
  2180.0 ,   130.61
  2190.0 ,   130.05
  2200.0 ,   129.36
  2210.0 ,   128.59
  2220.0 ,   127.77
  2230.0 ,   126.97
  2240.0 ,   126.21
  2250.0 ,   125.54
  2260.0 ,   125.01
  2270.0 ,   124.62
  2280.0 ,   124.42
  2290.0 ,   124.39
  2300.0 ,   124.54
  2310.0 ,   124.87
  2320.0 ,   125.37
  2330.0 ,   126.02
  2340.0 ,   126.81
  2350.0 ,   127.73
  2360.0 ,   128.74
  2370.0 ,   129.85
  2380.0 ,   131.02
  2390.0 ,   132.25
  2400.0 ,   133.51
  2410.0 ,   134.79
  2420.0 ,   136.07
  2430.0 ,   137.34
  2440.0 ,   138.57
  2450.0 ,   139.75
  2460.0 ,   140.85
  2470.0 ,   141.87
  2480.0 ,   142.77
  2490.0 ,   143.55
  2500.0 ,   144.19
  2510.0 ,   144.66
  2520.0 ,   144.96
  2530.0 ,   145.07
  2540.0 ,   145.00
  2550.0 ,   144.74
  2560.0 ,   144.31
  2570.0 ,   143.74
  2580.0 ,   143.04
  2590.0 ,   142.27
  2600.0 ,   141.46
  2610.0 ,   140.66
  2620.0 ,   139.91
  2630.0 ,   139.27
  2640.0 ,   138.75
  2650.0 ,   138.38
  2660.0 ,   138.19
  2670.0 ,   138.17
  2680.0 ,   138.34
  2690.0 ,   138.67
  2700.0 ,   139.17
  2710.0 ,   139.83
  2720.0 ,   140.61
  2730.0 ,   141.52
  2740.0 ,   142.53
  2750.0 ,   143.63
  2760.0 ,   144.80
  2770.0 ,   146.01
  2780.0 ,   147.27
  2790.0 ,   148.54
  2800.0 ,   149.81
  2810.0 ,   151.06
  2820.0 ,   152.27
  2830.0 ,   153.44
  2840.0 ,   154.52
  2850.0 ,   155.52
  2860.0 ,   156.40
  2870.0 ,   157.16
  2880.0 ,   157.77
  2890.0 ,   158.21
  2900.0 ,   158.48
  2910.0 ,   158.56
  2920.0 ,   158.46
  2930.0 ,   158.18
  2940.0 ,   157.73
  2950.0 ,   157.14
  2960.0 ,   156.44
  2970.0 ,   155.67
  2980.0 ,   154.86
  2990.0 ,   154.08
  3000.0 ,   153.35
  3010.0 ,   152.72
  3020.0 ,   152.22
  3030.0 ,   151.88
  3040.0 ,   151.70
  3050.0 ,   151.70
  3060.0 ,   151.88
  3070.0 ,   152.22
  3080.0 ,   152.73
  3090.0 ,   153.38
  3100.0 ,   154.17
  3110.0 ,   155.07
  3120.0 ,   156.08
  3130.0 ,   157.17
  3140.0 ,   158.33
  3150.0 ,   159.54
