tdays,Angledeg
     0.0 ,    70.94
    10.0 ,    80.52
    20.0 ,    90.06
    30.0 ,    99.60
    40.0 ,   109.14
    50.0 ,   118.67
    60.0 ,   128.23
    70.0 ,   137.81
    80.0 ,   147.41
    90.0 ,   157.06
   100.0 ,   166.75
   110.0 ,   176.49
   120.0 ,   186.28
   130.0 ,   196.14
   140.0 ,   206.04
   150.0 ,   216.00
   160.0 ,   226.02
   170.0 ,   236.08
   180.0 ,   246.19
   190.0 ,   256.33
   200.0 ,   266.50
   210.0 ,   276.68
   220.0 ,   286.88
   230.0 ,   297.06
   240.0 ,   307.24
   250.0 ,   317.39
   260.0 ,   327.50
   270.0 ,   337.58
   280.0 ,   347.61
   290.0 ,   357.59
   300.0 ,   367.51
   310.0 ,   377.38
   320.0 ,   387.18
   330.0 ,   396.94
   340.0 ,   406.64
   350.0 ,   416.30
   360.0 ,   425.92
   370.0 ,   435.50
   380.0 ,   445.06
   390.0 ,   454.60
   400.0 ,   464.14
   410.0 ,   473.67
   420.0 ,   483.22
   430.0 ,   492.79
   440.0 ,   502.37
   450.0 ,   512.00
   460.0 ,   521.67
   470.0 ,   531.38
   480.0 ,   541.15
   490.0 ,   550.97
   500.0 ,   560.84
   510.0 ,   570.78
   520.0 ,   580.76
   530.0 ,   590.80
   540.0 ,   600.89
   550.0 ,   611.01
   560.0 ,   621.17
   570.0 ,   631.35
   580.0 ,   641.53
   590.0 ,   651.72
   600.0 ,   661.91
   610.0 ,   672.07
   620.0 ,   682.21
   630.0 ,   692.31
   640.0 ,   702.36
   650.0 ,   712.36
   660.0 ,   722.32
   670.0 ,   732.21
   680.0 ,   742.05
   690.0 ,   751.83
   700.0 ,   761.56
   710.0 ,   771.24
   720.0 ,   780.88
   730.0 ,   790.48
   740.0 ,   800.05
   750.0 ,   809.61
   760.0 ,   819.14
   770.0 ,   828.68
   780.0 ,   838.22
   790.0 ,   847.77
   800.0 ,   857.35
   810.0 ,   866.95
   820.0 ,   876.60
   830.0 ,   886.28
   840.0 ,   896.02
   850.0 ,   905.81
   860.0 ,   915.66
   870.0 ,   925.56
   880.0 ,   935.52
   890.0 ,   945.53
   900.0 ,   955.59
   910.0 ,   965.70
   920.0 ,   975.84
   930.0 ,   986.01
   940.0 ,   996.19
   950.0 ,  1006.38
   960.0 ,  1016.57
   970.0 ,  1026.75
   980.0 ,  1036.90
   990.0 ,  1047.02
  1000.0 ,  1057.10
  1010.0 ,  1067.13
  1020.0 ,  1077.11
  1030.0 ,  1087.03
  1040.0 ,  1096.90
  1050.0 ,  1106.72
  1060.0 ,  1116.47
  1070.0 ,  1126.18
  1080.0 ,  1135.84
  1090.0 ,  1145.46
  1100.0 ,  1155.05
  1110.0 ,  1164.61
  1120.0 ,  1174.15
  1130.0 ,  1183.69
  1140.0 ,  1193.22
  1150.0 ,  1202.76
  1160.0 ,  1212.33
  1170.0 ,  1221.91
  1180.0 ,  1231.53
  1190.0 ,  1241.20
  1200.0 ,  1250.91
  1210.0 ,  1260.67
  1220.0 ,  1270.49
  1230.0 ,  1280.36
  1240.0 ,  1290.29
  1250.0 ,  1300.27
  1260.0 ,  1310.31
