tdays,Angledeg
     0.0 ,    69.35
    10.0 ,    81.64
    20.0 ,    93.92
    30.0 ,   106.21
    40.0 ,   118.50
    50.0 ,   130.80
    60.0 ,   143.09
    70.0 ,   155.38
    80.0 ,   167.66
    90.0 ,   179.92
   100.0 ,   192.16
   110.0 ,   204.38
   120.0 ,   216.57
   130.0 ,   228.75
   140.0 ,   240.88
   150.0 ,   252.98
   160.0 ,   265.02
   170.0 ,   276.98
   180.0 ,   288.82
   190.0 ,   300.51
   200.0 ,   311.98
   210.0 ,   323.15
   220.0 ,   333.93
   230.0 ,   344.14
   240.0 ,   353.56
   250.0 ,   361.84
   260.0 ,   368.41
   270.0 ,   372.47
   280.0 ,   373.01
   290.0 ,   369.45
   300.0 ,   363.34
   310.0 ,   358.30
   320.0 ,   356.92
   330.0 ,   359.34
   340.0 ,   364.59
   350.0 ,   371.78
   360.0 ,   380.27
   370.0 ,   389.66
   380.0 ,   399.68
   390.0 ,   410.18
   400.0 ,   421.02
   410.0 ,   432.15
   420.0 ,   443.51
   430.0 ,   455.05
   440.0 ,   466.75
   450.0 ,   478.59
   460.0 ,   490.56
   470.0 ,   502.64
   480.0 ,   514.82
   490.0 ,   527.10
   500.0 ,   539.46
   510.0 ,   551.90
   520.0 ,   564.39
   530.0 ,   576.91
   540.0 ,   589.47
   550.0 ,   602.04
   560.0 ,   614.63
   570.0 ,   627.21
   580.0 ,   639.80
   590.0 ,   652.38
   600.0 ,   664.95
   610.0 ,   677.52
   620.0 ,   690.06
   630.0 ,   702.58
   640.0 ,   715.06
   650.0 ,   727.50
   660.0 ,   739.89
   670.0 ,   752.23
   680.0 ,   764.51
   690.0 ,   776.74
   700.0 ,   788.89
   710.0 ,   800.97
   720.0 ,   812.98
   730.0 ,   824.88
   740.0 ,   836.66
   750.0 ,   848.30
   760.0 ,   859.77
   770.0 ,   871.03
   780.0 ,   882.06
   790.0 ,   892.77
   800.0 ,   903.08
   810.0 ,   912.86
   820.0 ,   921.88
   830.0 ,   929.82
   840.0 ,   936.17
   850.0 ,   940.14
   860.0 ,   940.76
   870.0 ,   937.50
   880.0 ,   931.64
   890.0 ,   926.68
   900.0 ,   925.29
   910.0 ,   927.75
   920.0 ,   933.18
   930.0 ,   940.67
   940.0 ,   949.56
   950.0 ,   959.43
   960.0 ,   969.96
   970.0 ,   980.97
   980.0 ,   992.31
   990.0 ,  1003.89
  1000.0 ,  1015.63
  1010.0 ,  1027.49
  1020.0 ,  1039.43
  1030.0 ,  1051.42
  1040.0 ,  1063.47
  1050.0 ,  1075.54
  1060.0 ,  1087.65
  1070.0 ,  1099.78
  1080.0 ,  1111.92
  1090.0 ,  1124.09
  1100.0 ,  1136.27
  1110.0 ,  1148.46
  1120.0 ,  1160.67
  1130.0 ,  1172.91
  1140.0 ,  1185.17
  1150.0 ,  1197.46
  1160.0 ,  1209.78
  1170.0 ,  1222.13
  1180.0 ,  1234.50
  1190.0 ,  1246.90
  1200.0 ,  1259.31
  1210.0 ,  1271.73
  1220.0 ,  1284.16
  1230.0 ,  1296.59
  1240.0 ,  1309.02
  1250.0 ,  1321.45
  1260.0 ,  1333.87
  1270.0 ,  1346.29
  1280.0 ,  1358.69
  1290.0 ,  1371.07
  1300.0 ,  1383.40
  1310.0 ,  1395.69
  1320.0 ,  1407.89
  1330.0 ,  1419.98
  1340.0 ,  1431.94
  1350.0 ,  1443.72
  1360.0 ,  1455.28
  1370.0 ,  1466.57
  1380.0 ,  1477.48
  1390.0 ,  1487.89
  1400.0 ,  1497.62
  1410.0 ,  1506.39
  1420.0 ,  1513.80
  1430.0 ,  1519.23
  1440.0 ,  1521.80
  1450.0 ,  1520.67
  1460.0 ,  1515.91
  1470.0 ,  1509.82
  1480.0 ,  1505.87
  1490.0 ,  1505.70
  1500.0 ,  1508.97
  1510.0 ,  1514.80
  1520.0 ,  1522.37
  1530.0 ,  1531.16
  1540.0 ,  1540.81
  1550.0 ,  1551.09
  1560.0 ,  1561.84
  1570.0 ,  1572.96
  1580.0 ,  1584.37
  1590.0 ,  1596.02
  1600.0 ,  1607.88
  1610.0 ,  1619.90
  1620.0 ,  1632.06
  1630.0 ,  1644.35
  1640.0 ,  1656.72
  1650.0 ,  1669.16
  1660.0 ,  1681.65
  1670.0 ,  1694.16
  1680.0 ,  1706.69
  1690.0 ,  1719.22
  1700.0 ,  1731.76
  1710.0 ,  1744.29
  1720.0 ,  1756.81
  1730.0 ,  1769.32
  1740.0 ,  1781.82
  1750.0 ,  1794.29
  1760.0 ,  1806.74
  1770.0 ,  1819.16
  1780.0 ,  1831.55
  1790.0 ,  1843.90
  1800.0 ,  1856.22
  1810.0 ,  1868.51
  1820.0 ,  1880.78
  1830.0 ,  1893.01
  1840.0 ,  1905.22
  1850.0 ,  1917.39
  1860.0 ,  1929.51
  1870.0 ,  1941.59
  1880.0 ,  1953.61
  1890.0 ,  1965.56
  1900.0 ,  1977.43
  1910.0 ,  1989.22
  1920.0 ,  2000.91
  1930.0 ,  2012.48
  1940.0 ,  2023.91
  1950.0 ,  2035.13
  1960.0 ,  2046.10
  1970.0 ,  2056.70
  1980.0 ,  2066.79
  1990.0 ,  2076.15
  2000.0 ,  2084.43
  2010.0 ,  2091.11
  2020.0 ,  2095.42
  2030.0 ,  2096.36
  2040.0 ,  2093.31
  2050.0 ,  2087.52
  2060.0 ,  2082.46
  2070.0 ,  2081.01
  2080.0 ,  2083.44
  2090.0 ,  2088.85
  2100.0 ,  2096.30
  2110.0 ,  2105.09
  2120.0 ,  2114.77
  2130.0 ,  2125.08
  2140.0 ,  2135.80
  2150.0 ,  2146.83
  2160.0 ,  2158.09
  2170.0 ,  2169.51
  2180.0 ,  2181.08
  2190.0 ,  2192.76
  2200.0 ,  2204.53
  2210.0 ,  2216.38
  2220.0 ,  2228.31
  2230.0 ,  2240.29
  2240.0 ,  2252.34
  2250.0 ,  2264.46
  2260.0 ,  2276.63
  2270.0 ,  2288.86
  2280.0 ,  2301.15
  2290.0 ,  2313.51
  2300.0 ,  2325.91
  2310.0 ,  2338.35
  2320.0 ,  2350.84
  2330.0 ,  2363.34
  2340.0 ,  2375.87
  2350.0 ,  2388.41
  2360.0 ,  2400.95
  2370.0 ,  2413.50
  2380.0 ,  2426.05
  2390.0 ,  2438.60
  2400.0 ,  2451.14
  2410.0 ,  2463.67
  2420.0 ,  2476.18
  2430.0 ,  2488.66
  2440.0 ,  2501.09
  2450.0 ,  2513.46
  2460.0 ,  2525.76
  2470.0 ,  2537.97
  2480.0 ,  2550.08
  2490.0 ,  2562.08
  2500.0 ,  2573.94
  2510.0 ,  2585.62
  2520.0 ,  2597.10
  2530.0 ,  2608.32
  2540.0 ,  2619.19
  2550.0 ,  2629.64
  2560.0 ,  2639.51
  2570.0 ,  2648.61
  2580.0 ,  2656.65
  2590.0 ,  2663.16
  2600.0 ,  2667.43
  2610.0 ,  2668.57
  2620.0 ,  2665.86
  2630.0 ,  2660.14
  2640.0 ,  2654.54
  2650.0 ,  2652.09
  2660.0 ,  2653.56
  2670.0 ,  2658.19
  2680.0 ,  2665.05
  2690.0 ,  2673.45
  2700.0 ,  2682.92
  2710.0 ,  2693.15
  2720.0 ,  2703.94
  2730.0 ,  2715.15
  2740.0 ,  2726.69
  2750.0 ,  2738.48
  2760.0 ,  2750.46
  2770.0 ,  2762.57
  2780.0 ,  2774.79
  2790.0 ,  2787.08
  2800.0 ,  2799.41
  2810.0 ,  2811.76
  2820.0 ,  2824.13
  2830.0 ,  2836.50
  2840.0 ,  2848.87
  2850.0 ,  2861.25
  2860.0 ,  2873.61
  2870.0 ,  2885.97
  2880.0 ,  2898.32
  2890.0 ,  2910.65
  2900.0 ,  2922.97
  2910.0 ,  2935.27
  2920.0 ,  2947.57
  2930.0 ,  2959.86
  2940.0 ,  2972.15
  2950.0 ,  2984.43
  2960.0 ,  2996.72
  2970.0 ,  3009.02
  2980.0 ,  3021.31
  2990.0 ,  3033.59
  3000.0 ,  3045.86
  3010.0 ,  3058.12
  3020.0 ,  3070.35
  3030.0 ,  3082.56
  3040.0 ,  3094.75
  3050.0 ,  3106.91
  3060.0 ,  3119.04
  3070.0 ,  3131.13
  3080.0 ,  3143.16
  3090.0 ,  3155.11
  3100.0 ,  3166.94
  3110.0 ,  3178.61
  3120.0 ,  3190.07
  3130.0 ,  3201.22
  3140.0 ,  3211.98
  3150.0 ,  3222.17
  3160.0 ,  3231.55
  3170.0 ,  3239.79
  3180.0 ,  3246.29
  3190.0 ,  3250.24
  3200.0 ,  3250.63
  3210.0 ,  3246.94
  3220.0 ,  3240.79
  3230.0 ,  3235.86
  3240.0 ,  3234.65
  3250.0 ,  3237.21
  3260.0 ,  3242.57
  3270.0 ,  3249.82
  3280.0 ,  3258.37
  3290.0 ,  3267.79
  3300.0 ,  3277.84
  3310.0 ,  3288.36
  3320.0 ,  3299.22
  3330.0 ,  3310.36
  3340.0 ,  3321.72
  3350.0 ,  3333.27
  3360.0 ,  3344.97
  3370.0 ,  3356.81
  3380.0 ,  3368.77
  3390.0 ,  3380.84
  3400.0 ,  3393.02
  3410.0 ,  3405.29
  3420.0 ,  3417.65
  3430.0 ,  3430.07
  3440.0 ,  3442.56
  3450.0 ,  3455.08
  3460.0 ,  3467.64
  3470.0 ,  3480.21
  3480.0 ,  3492.79
  3490.0 ,  3505.37
  3500.0 ,  3517.96
  3510.0 ,  3530.54
  3520.0 ,  3543.12
  3530.0 ,  3555.68
  3540.0 ,  3568.23
  3550.0 ,  3580.75
  3560.0 ,  3593.23
  3570.0 ,  3605.68
  3580.0 ,  3618.08
  3590.0 ,  3630.42
  3600.0 ,  3642.71
  3610.0 ,  3654.93
  3620.0 ,  3667.09
  3630.0 ,  3679.18
  3640.0 ,  3691.18
  3650.0 ,  3703.08
  3660.0 ,  3714.86
  3670.0 ,  3726.50
  3680.0 ,  3737.96
  3690.0 ,  3749.22
  3700.0 ,  3760.23
  3710.0 ,  3770.93
  3720.0 ,  3781.21
  3730.0 ,  3790.96
  3740.0 ,  3799.94
  3750.0 ,  3807.81
  3760.0 ,  3814.06
  3770.0 ,  3817.90
  3780.0 ,  3818.34
  3790.0 ,  3814.91
  3800.0 ,  3809.00
  3810.0 ,  3804.15
  3820.0 ,  3802.93
  3830.0 ,  3805.53
  3840.0 ,  3811.06
  3850.0 ,  3818.62
  3860.0 ,  3827.56
  3870.0 ,  3837.45
  3880.0 ,  3848.01
  3890.0 ,  3859.04
  3900.0 ,  3870.40
  3910.0 ,  3881.99
  3920.0 ,  3893.75
  3930.0 ,  3905.62
  3940.0 ,  3917.58
  3950.0 ,  3929.58
  3960.0 ,  3941.64
  3970.0 ,  3953.73
  3980.0 ,  3965.84
  3990.0 ,  3977.98
